,cpu,gpu,model,ram
3607,"Qualcomm Snapdragon 808 MSM8992, 2015, 64 bit, hexa-core, 20 nm, Qualcomm Adreno 418 GPU",Qualcomm Adreno 418,Mi 4s Dual SIM TD-LTE 64GB 2015911,3.00
3608,"Qualcomm Snapdragon 820 MSM8996, 2015, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,Xperia X Performance TD-LTE F8131,3.00
3609,"Qualcomm Snapdragon 618 MSM8956 / Snapdragon 650, 2015, 64 bit, hexa-core, 1024 Kbyte L2, 28 nm, Qualcomm Adreno 510 GPU",Qualcomm Adreno 510,Xperia X LTE-A Dual F5122,3.00
3610,"Qualcomm Snapdragon 618 MSM8956 / Snapdragon 650, 2015, 64 bit, hexa-core, 1024 Kbyte L2, 28 nm, Qualcomm Adreno 510 GPU",Qualcomm Adreno 510,Xperia X LTE-A F5121,3.00
3611,"MediaTek MT6755 (Helio P10), 2015, 64 bit, octa-core, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,Xperia XA TD-LTE Dual F3116,2.00
3612,"MediaTek MT6755 (Helio P10), 2015, 64 bit, octa-core, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,Xperia XA TD-LTE F3115,2.00
3613,"MediaTek MT6755 (Helio P10), 2015, 64 bit, octa-core, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,Xperia XA LTE F3113,2.00
3614,"MediaTek MT6755 (Helio P10), 2015, 64 bit, octa-core, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,Xperia XA LTE Dual F3112,2.00
3615,"MediaTek MT6755 (Helio P10), 2015, 64 bit, octa-core, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,Xperia XA LTE F3111 / PP10,2.00
3616,"Qualcomm Snapdragon 820 MSM8996, 2015, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,SM-G930V Galaxy S7 XLTE,4.00
3617,"Qualcomm Snapdragon 617 MSM8952, 2015, 64 bit, octa-core, 28 nm, Qualcomm Adreno 405 GPU",Qualcomm Adreno 405,Blade V770 Orange Neva 80 LTE / TT175S,2.00
3618,"Qualcomm Snapdragon 800 MSM8974AB v2, 2013, 32 bit, quad-core, 16 Kbyte I-Cache, 16 Kbyte D-Cache, 2048 Kbyte L2, 28 nm, Qualcomm Adreno 330 GPU",Qualcomm Adreno 330,Toughpad FZ-N1 LTE Dual SIM,2.00
3619,"Qualcomm Snapdragon 800 MSM8974AB v2, 2013, 32 bit, quad-core, 16 Kbyte I-Cache, 16 Kbyte D-Cache, 2048 Kbyte L2, 28 nm, Qualcomm Adreno 330 GPU",Qualcomm Adreno 330,Toughpad FZ-F1 LTE Dual SIM LTE,2.00
3620,"Qualcomm Snapdragon 625 MSM8953, 2016, 64 bit, octa-core, 14 nm, Qualcomm Adreno 506 GPU",Qualcomm Adreno 506,SPro Plus Smart Projector WiFi 32GB,3.00
3621,"Qualcomm Snapdragon 808 MSM8992, 2015, 64 bit, hexa-core, 20 nm, Qualcomm Adreno 418 GPU",Qualcomm Adreno 418,Liquid Jade 2 S58A LTE-A,3.00
3622,"Qualcomm Snapdragon 820 MSM8996, 2015, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,G5 F700S LTE-A,4.00
3623,"Samsung Exynos 3 Quad 3475 (Island), 2015, 32 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720,SM-J120G/DS Galaxy J1 2016 Duos 4G LTE,1.00
3624,"Qualcomm Snapdragon 212 MSM8909v2, 2015, 32 bit, quad-core, 28 nm, Qualcomm Adreno 304 GPU",Qualcomm Adreno 304,Lumia 650 LTE NA,1.00
3625,"Qualcomm Snapdragon 820 MSM8996, 2015, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,SM-G935P Galaxy S7 Edge TD-LTE,4.00
3626,"Samsung Exynos 7 Octa 7420, 2015, 64 bit, octa-core, 2048 Kbyte L2, 14 nm, ARM Mali-T760 GPU",ARM Mali-T760MP8,SM-N920C Galaxy Note 5 LTE-A 32GB,4.00
3627,"Qualcomm Snapdragon 210 MSM8909, 2014, 32 bit, quad-core, 28 nm, Qualcomm Adreno 304 GPU",Qualcomm Adreno 304,One Touch Pop 4 LTE 5051X,1.00
3628,"Samsung Exynos 8 Octa 8890, 2016, 64 bit, octa-core, 14 nm, ARM Mali-T880 GPU",ARM Mali-T880MP12,SM-G935F Galaxy S7 Edge TD-LTE,4.00
3629,"Qualcomm Snapdragon 820 MSM8996, 2015, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,SM-G930T Galaxy S7 TD-LTE / SM-G930T1,4.00
3630,"Intel Atom x5-Z8350 (Cherry Trail), 2016, 64 bit, quad-core, 32 Kbyte I-Cache, 24 Kbyte D-Cache, 2048 Kbyte L2, 14 nm, Intel HD Graphics 400 GPU",Intel HD Graphics 400,Plus 10,2.00
3631,"MediaTek MT6735P, 2015, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP3,Blade V7 Lite Dual SIM LTE,2.00
3632,"MediaTek MT6753, 2015, 64 bit, octa-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP3,Blade V7 LTE NA,2.00
3633,"MediaTek MT6572, 2013, 32 bit, dual-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 256 Kbyte L2, 28 nm, ARM Mali-400 GPU",ARM Mali-400,iRist Smart Watch,512
