,full_link
100,http://phonedb.net/index.php?m=device&id=13317&c=lg_lmx210emw_k_series_k9_2018_dual_sim_lte_emea__lg_x210e
101,http://phonedb.net/index.php?m=device&id=13316&c=zte_z963vl_max_duo_lte
102,http://phonedb.net/index.php?m=device&id=13315&c=zte_z962bl_max_duo_lte
103,http://phonedb.net/index.php?m=device&id=13313&c=motorola_moto_g6_plus_td-lte_emea_xt1926-5_64gb__moto_g_plus_gen_6__motorola_teller
104,http://phonedb.net/index.php?m=device&id=13312&c=motorola_moto_g6_play_td-lte_emea_xt1922-2_32gb__motorola_ashley
105,http://phonedb.net/index.php?m=device&id=13311&c=oppo_f7_dual_sim_td-lte_ru_ae_ph_version_3_64gb
106,http://phonedb.net/index.php?m=device&id=13301&c=samsung_sm-g9650ds_galaxy_s9plus_duos_td-lte_cn_256gb__samsung_star_2
107,http://phonedb.net/index.php?m=device&id=13304&c=nokia_7_plus_standard_edition_dual_sim_td-lte_apac
108,http://phonedb.net/index.php?m=device&id=13302&c=samsung_sm-g9600ds_galaxy_s9_duos_td-lte_cn_128gb__samsung_star
109,http://phonedb.net/index.php?m=device&id=13299&c=meizu_mblu_e3_dual_sim_td-lte_cn_m851q_128gb__meizu_meilan_e3
110,http://phonedb.net/index.php?m=device&id=13310&c=motorola_moto_g6_play_td-lte_na_xt1922-9_16gb__moto_g_play_gen_6__motorola_ashley
111,http://phonedb.net/index.php?m=device&id=13309&c=huawei_nova_2_plus_dual_sim_td-lte_apac_128gb_bac-l22__huawei_barca
112,http://phonedb.net/index.php?m=device&id=13308&c=huawei_nova_2_plus_lte-a_emea_bac-l01__huawei_barca
113,http://phonedb.net/index.php?m=device&id=13307&c=huawei_nova_2_plus_dual_sim_lte-a_emea_bac-l21__huawei_barca
114,http://phonedb.net/index.php?m=device&id=13298&c=sony_xperia_xa2_dual_sim_td-lte_h4133__sony_sm12
115,http://phonedb.net/index.php?m=device&id=13303&c=samsung_sm-g9608ds_galaxy_s9_duos_4gplus_td-lte_cn___samsung_star
116,http://phonedb.net/index.php?m=device&id=13306&c=huawei_p10_selfie_lte-a_latam_bac-l03__huawei_barca
117,http://phonedb.net/index.php?m=device&id=13305&c=nokia_7_plus_android_one_dual_sim_td-lte_in
118,http://phonedb.net/index.php?m=device&id=13300&c=samsung_sm-g9650ds_galaxy_s9plus_duos_td-lte_cn_128gb__samsung_star_2
119,http://phonedb.net/index.php?m=device&id=13297&c=motorola_moto_g6_td-lte_na_64gb_xt1925-6__moto_g_gen_6_xt1925-12__xt1925dl__motorola_blaine
120,http://phonedb.net/index.php?m=device&id=13296&c=lg_g710n_g7_thinq_td-lte_kr__lg_judy
121,http://phonedb.net/index.php?m=device&id=13295&c=sony_xperia_xz2_premium_td-lte_h8116__sony_pf12
122,http://phonedb.net/index.php?m=device&id=13294&c=bbk_vivo_v9_youth_edition_dual_sim_td-lte_in_1727
123,http://phonedb.net/index.php?m=device&id=13140&c=wiko_view_max_dual_sim_lte
124,http://phonedb.net/index.php?m=device&id=13293&c=wiko_view_dual_sim_lte_16gb_m1825
125,http://phonedb.net/index.php?m=device&id=13292&c=wiko_tommy_3_dual_sim_td-lte_apac_m2091
126,http://phonedb.net/index.php?m=device&id=13291&c=zte_nubia_red_magic_dual_sim_td-lte_64gb
127,http://phonedb.net/index.php?m=device&id=13290&c=huawei_honor_10_standard_edition_dual_sim_td-lte_cn_col-al10
128,http://phonedb.net/index.php?m=device&id=13284&c=blu_vivo_one_plus_dual_sim_lte
129,http://phonedb.net/index.php?m=device&id=13289&c=bluboo_d2_dual_sim
130,http://phonedb.net/index.php?m=device&id=13288&c=bluboo_s3_dual_sim_td-lte
131,http://phonedb.net/index.php?m=device&id=13287&c=bluboo_s8_plus_dual_sim_lte
132,http://phonedb.net/index.php?m=device&id=13286&c=bluboo_d5_pro_dual_sim_lte
133,http://phonedb.net/index.php?m=device&id=13285&c=zte_nubia_red_magic_dual_sim_td-lte_128gb
134,http://phonedb.net/index.php?m=device&id=13283&c=bbk_vivo_y71_dual_sim_td-lte_in
135,http://phonedb.net/index.php?m=device&id=13282&c=huawei_p20_lite_dual_sim_td-lte_apac_ane-lx2__ane-l22__huawei_anne
136,http://phonedb.net/index.php?m=device&id=13267&c=zte_nubia_z18_mini_dual_sim_td-lte_128gb
137,http://phonedb.net/index.php?m=device&id=13281&c=huawei_p20_pro_dual_sim_td-lte_clt-tl01_64gb__huawei_charlotte
138,http://phonedb.net/index.php?m=device&id=13280&c=oppo_a3_dual_sim_td-lte_cn_padm00
139,http://phonedb.net/index.php?m=device&id=13279&c=samsung_sm-j720fds_galaxy_j7_duo_dual_sim_td-lte__samsung_j720
140,http://phonedb.net/index.php?m=device&id=13278&c=sharp_a2_lite_dual_sim_td-lte_fs8026
141,http://phonedb.net/index.php?m=device&id=13271&c=samsung_sm-g935l_galaxy_s7_edge_td-lte__samsung_hero_2
142,http://phonedb.net/index.php?m=device&id=13277&c=sony_xperia_xz2_premium_dual_sim_td-lte_h8166__sony_pf12
143,http://phonedb.net/index.php?m=device&id=13276&c=huawei_p20_pro_dual_sim_td-lte_clt-al00_256gb__huawei_charlotte
144,http://phonedb.net/index.php?m=device&id=13275&c=xiaomi_black_shark_dual_sim_td-lte_128gb_skr-a0
145,http://phonedb.net/index.php?m=device&id=13272&c=samsung_sm-g935l_galaxy_s7_edge_td-lte_128gb__samsung_hero_2
146,http://phonedb.net/index.php?m=device&id=13273&c=samsung_sm-g935k_galaxy_s7_edge_td-lte_128gb__samsung_hero_2
147,http://phonedb.net/index.php?m=device&id=13274&c=xiaomi_black_shark_dual_sim_td-lte_64gb_skr-a0
148,http://phonedb.net/index.php?m=device&id=13270&c=samsung_sm-g935s_galaxy_s7_edge_td-lte_128gb__samsung_hero_2
