,cpu,gpu,model,ram
9914,"ARM Cortex-A8, 2005, 32 bit, single-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1024 Kbyte L2, 65 nm",ARM Mail-200,GoTab Gravity TAB364,512
9915,"ARM Cortex-A8, 2005, 32 bit, single-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1024 Kbyte L2, 65 nm",ARM Mail-200,GoTab Gravity TAB360,512
9916,"ARM 1136JF-S, 2002, 32 bit, single-core, 16 Kbyte I-Cache, 16 Kbyte D-Cache",ARM Mail-200,TAB310,256
9917,"ARM Cortex-A8, 2005, 32 bit, single-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1024 Kbyte L2, 65 nm",ARM Mail-200,GoTab Velocity TAB264,512
9918,"ARM Cortex-A8, 2005, 32 bit, single-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1024 Kbyte L2, 65 nm",ARM Mail-200,GoTab Velocity TAB260,512
9919,"ARM Cortex-A8, 2005, 32 bit, single-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1024 Kbyte L2, 65 nm",ARM Mail-200,GoTab Velocity TAB224,512
9920,"ARM Cortex-A8, 2005, 32 bit, single-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1024 Kbyte L2, 65 nm",ARM Mail-200,GoTab Velocity TAB220,512
9921,"Telechip TCC8902, 2010, 32 bit, single-core, 16 Kbyte I-Cache, 16 Kbyte D-Cache, 65 nm",ARM Mail-200,TAB250,256
9922,"Telechip TCC8902, 2010, 32 bit, single-core, 16 Kbyte I-Cache, 16 Kbyte D-Cache, 65 nm",ARM Mail-200,TAB211,256
9923,"Rockchip RK2818, 2010, 32 bit, single-core, ARM Mali-200 GPU",ARM Mail-200,TAB210,256
9924,"Qualcomm Snapdragon S3 MSM8660, 2010, 32 bit, dual-core, 16 Kbyte I-Cache, 16 Kbyte D-Cache, 512 Kbyte L2, 45 nm, Qualcomm Adreno 220 GPU",Qualcomm Adreno 220,Optik V55,1.00
9925,"Qualcomm Snapdragon S3 MSM8660, 2010, 32 bit, dual-core, 16 Kbyte I-Cache, 16 Kbyte D-Cache, 512 Kbyte L2, 45 nm, Qualcomm Adreno 220 GPU",Qualcomm Adreno 220,HTC EVO 3D ISW12HT,1.00
