,cpu,gpu,model,ram
2508,"HiSilicon Honor KIRIN960 Hi3660, 2016, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 16 nm, ARM Mali-G71 GPU",ARM Mali-G71MP8,Mate 9 TD-LTE MHA-L09,4.00
2509,"MediaTek MT6797M (Helio X20), 2016, 64 bit, deca-core, 20 nm, ARM Mali-T880 GPU",ARM Mali-T880,Phone 360 N4S 1505-A01 LTE Dual SIM,4.00
2510,"Qualcomm Snapdragon 430 MSM8937, 2016, 64 bit, octa-core, 28 nm, Qualcomm Adreno 505 GPU",Qualcomm Adreno 505,AQUOS PHONE SH-M04 / SH-M04-A LTE,2.00
2511,"MediaTek MT6750, 2016, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 512 Kbyte L2, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,m3s Y685H Global Dual SIM TD-LTE 16GB,2.00
2512,"MediaTek MT6735M, 2015, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP2,V9 TD-LTE Dual SIM,1.00
2513,"MediaTek MT6750, 2016, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 512 Kbyte L2, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,m3s Y685H Global Dual SIM TD-LTE 32GB,3.00
2514,"Qualcomm Snapdragon 435 MSM8940, 2016, 64 bit, octa-core, 28 nm, Qualcomm Adreno 505 GPU",Qualcomm Adreno 505,A57 Dual SIM TD-LTE CN,3.00
2515,"Qualcomm Snapdragon 617 MSM8952, 2015, 64 bit, octa-core, 28 nm, Qualcomm Adreno 405 GPU",Qualcomm Adreno 405,Axon 7 Mini A7S Dual SIM TD-LTE US,3.00
2516,"Qualcomm Snapdragon 820 MSM8996, 2015, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,H915 V20 LTE-A,4.00
2517,"Samsung Exynos 7 Quad 7570, 2016, 64 bit, quad-core, 14 nm, ARM Mali-T720 GPU",Qualcomm Adreno 530,SM-G570Y Galaxy J5 Prime Duos TD-LTE,2.00
2518,"MediaTek MT6755 (Helio P10), 2015, 64 bit, octa-core, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,m3 note Dual SIM TD-LTE 32GB M681C / M681Q,3.00
2519,"MediaTek MT6750, 2016, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 512 Kbyte L2, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,Vivo Y67 TD-LTE Dual SIM,4.00
2520,"MediaTek MT6753, 2015, 64 bit, octa-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP3,F820L U LTE,2.00
2521,"MediaTek MT6737, 2016, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP2,Eluga Tapp Dual SIM TD-LTE,2.00
2522,"Samsung Exynos 7 Octa 7880, 2017, 64 bit, octa-core, 14 nm, ARM Mali-T830 GPU",ARM Mali-T830MP3,SM-A720F/DS Galaxy A7 2017 Duos TD-LTE,3.00
2523,"MediaTek MT6750, 2016, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 512 Kbyte L2, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,M5 Dual SIM TD-LTE 16GB M611D / M611Y,2.00
2524,"MediaTek MT6750, 2016, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 512 Kbyte L2, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,M5 Dual SIM TD-LTE 32GB M611D,3.00
2525,"Spreadtrum SC9832A, 2016, 32 bit, quad-core, 28 nm, ARM Mali-400 GPU",ARM Mali-400MP,Xolo Era 2 TD-LTE Dual SIM,1.00
2526,"MediaTek MT6750, 2016, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 512 Kbyte L2, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,A39 Dual SIM TD-LTE TW CPH1605,3.00
2527,"Qualcomm Snapdragon 210 MSM8909, 2014, 32 bit, quad-core, 28 nm, Qualcomm Adreno 304 GPU",Qualcomm Adreno 304,Tempo TD-LTE,1.00
2528,"Samsung Exynos 7 Dual 7270, 2016, 64 bit, dual-core, 14 nm, ARM Mali-T720 GPU",ARM Mali-T720,SM-R765T Gear S3 Frontier LTE,768
2529,"Qualcomm Snapdragon 617 MSM8952, 2015, 64 bit, octa-core, 28 nm, Qualcomm Adreno 405 GPU",Qualcomm Adreno 405,P9 Lite Premium WiMAX 2+ VNS-L52,3.00
2530,"Qualcomm Snapdragon 821 MSM8996AC Pro, 2016, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,Mi Mix Exclusive Gold Ceramic Edition Dual SIM TD-LTE CN 256GB 2016080,6.00
2531,"Qualcomm Snapdragon 425 MSM8917, 2016, 64 bit, quad-core, 28 nm, Qualcomm Adreno 308 GPU",Qualcomm Adreno 308,Redmi 4A Dual SIM TD-LTE CN 2016111 / 2016112,2.00
2532,"MediaTek MT6750, 2016, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 512 Kbyte L2, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,Enjoy 6 Dual DIM TD-LTE NCE-AL00 / NCE-AL10,3.00
2533,"MediaTek MT6737T, 2016, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP1,Color F5 Dual SIM TD-LTE,2.00
2534,"Qualcomm Snapdragon 821 MSM8996AC Pro, 2016, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,Mi Mix Dual SIM TD-LTE CN 128GB 2016080,4.00
2535,"Qualcomm Snapdragon 821 MSM8996AC Pro, 2016, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,Mi Note 2 Premium Edition Dual SIM Global TD-LTE 128GB 2015213,6.00
2536,"Qualcomm Snapdragon 620 MSM8976 / Snapdragon 652, 2015, 64 bit, octa-core, 1024 Kbyte L2, 28 nm, Qualcomm Adreno 510 GPU",Qualcomm Adreno 510,Phone Q5 1515-A01 Dual SIM TD-LTE ,4.00
2537,"MediaTek MT6753, 2015, 64 bit, octa-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP3,Phone 360 N4A LTE Dual SIM,3.00
2538,"Qualcomm Snapdragon 821 MSM8996AC Pro, 2016, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,Mi Note 2 Standard Edition Dual SIM TD-LTE CN 64GB 2015211,4.00
2539,"Qualcomm Snapdragon 618 MSM8956 / Snapdragon 650, 2015, 64 bit, hexa-core, 1024 Kbyte L2, 28 nm, Qualcomm Adreno 510 GPU",Qualcomm Adreno 510,ZenPad Z10 XLTE ZT500KL,3.00
2540,"MediaTek MT6737T, 2016, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720,SM-G532F/DS Galaxy J2 Prime Plus Duos TD-LTE / Galaxy J2 Ace,1.50
2541,"Samsung Exynos 7 Octa 7870 (Joshua), 2016, 64 bit, octa-core, 14 nm, ARM Mali-T830 GPU",ARM Mali-T830,SM-G610L Galaxy On7 2016 LTE,3.00
2542,"HiSilicon Honor KIRIN960 Hi3660, 2016, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 16 nm, ARM Mali-G71 GPU",ARM Mali-G71MP8,Mate 9 Porsche Design Dual SIM TD-LTE LON-L29,6.00
2543,"MediaTek MT6735P, 2015, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP2,A6600 2016 Dual SIM LTE,1.00
2544,"Qualcomm Snapdragon 430 MSM8937, 2016, 64 bit, octa-core, 28 nm, Qualcomm Adreno 505 GPU",Qualcomm Adreno 505,Aquos Ever LTE SH-02J,2.00
2545,"Qualcomm Snapdragon 430 MSM8937, 2016, 64 bit, octa-core, 28 nm, Qualcomm Adreno 505 GPU",Qualcomm Adreno 505,Disney Mobile on docomo DM-01J LTE,2.00
2546,"Qualcomm Snapdragon 820 MSM8996, 2015, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,H918 V20 LTE-A / H910PR,4.00
2547,"Qualcomm Snapdragon 625 MSM8953, 2016, 64 bit, octa-core, 14 nm, Qualcomm Adreno 506 GPU",Qualcomm Adreno 506,Fujitsu Arrows NX F-01J,3.00
2548,"HiSilicon Honor KIRIN655 Hi6250, 2016, 64 bit, octa-core, 16 nm, ARM Mali-T830 GPU",ARM Mali-T830MP2,Honor 6X Standard Edition Dual SIM TD-LTE BLN-TL10,3.00
2549,"Qualcomm Snapdragon 625 MSM8953, 2016, 64 bit, octa-core, 14 nm, Qualcomm Adreno 506 GPU",Qualcomm Adreno 506,Easy smartphone 4 F-04J,2.00
2550,"Qualcomm Snapdragon 625 MSM8953, 2016, 64 bit, octa-core, 14 nm, Qualcomm Adreno 506 GPU",Qualcomm Adreno 304,Aquos Phone SH-01J,1.00
2551,"MediaTek MT6575M, 2011, 32 bit, single-core, 256 Kbyte L2, 40 nm, IMG PowerVR SGX531T GPU",ARM Mali-T860MP2 ,VS835 Stylo 2 V XLTE,2.00
2552,"Samsung Exynos 7 Octa 7870 (Joshua), 2016, 64 bit, octa-core, 14 nm, ARM Mali-T830 GPU",ARM Mali-T830MP2,SM-G610F/DD Galaxy On Nxt Duos TD-LTE / SM-G610FZ,3.00
2553,"Qualcomm Snapdragon 820 MSM8996, 2015, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,H990N V20 Dual SIM TD-LTE,4.00
2554,"Qualcomm Snapdragon 821 MSM8996AC Pro, 2016, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,Le Pro3 TD-LTE AM,4.00
2555,"Qualcomm Snapdragon 625 MSM8953, 2016, 64 bit, octa-core, 14 nm, Qualcomm Adreno 506 GPU",Qualcomm Adreno 506,R9s Dual SIM TD-LTE 64GB,4.00
2556,"Qualcomm Snapdragon 620 MSM8976 / Snapdragon 652, 2015, 64 bit, octa-core, 1024 Kbyte L2, 28 nm, Qualcomm Adreno 510 GPU",Qualcomm Adreno 510,R9s Plus Dual SIM TD-LTE CN 64GB,6.00
2557,"HiSilicon Honor KIRIN655 Hi6250, 2016, 64 bit, octa-core, 16 nm, ARM Mali-T830 GPU",ARM Mali-T830MP2,Honor 6X Premium Edition Dual SIM TD-LTE BLN-AL10 32GB,4.00
2558,"Qualcomm Snapdragon 810 MSM8994 v2.1, 2015, 64 bit, octa-core, 4096 Kbyte L2, 20 nm, Qualcomm Adreno 430 GPU",Qualcomm Adreno 510,Bolt TD-LTE,3.00
2559,"Samsung Exynos 7 Octa 7870 (Joshua), 2016, 64 bit, octa-core, 14 nm, ARM Mali-T830 GPU",ARM Mali-T830,SM-G610K Galaxy On7 2016 LTE,3.00
2560,"HiSilicon Honor KIRIN655 Hi6250, 2016, 64 bit, octa-core, 16 nm, ARM Mali-T830 GPU",ARM Mali-T830MP2,Honor 6X Standard Edition Dual SIM TD-LTE BLN-TL00 32GB,3.00
2561,"Qualcomm Snapdragon 820 MSM8996, 2015, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,au isai Beat WiMAX 2+ LGV34 / V20 S,4.00
2562,"Qualcomm Snapdragon 625 MSM8953, 2016, 64 bit, octa-core, 14 nm, Qualcomm Adreno 506 GPU",Qualcomm Adreno 506,Axon 7 Max C2017 Dual SIM TD-LTE 64GB,4.00
2563,"Qualcomm Snapdragon 820 MSM8996, 2015, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,DS1603 V20 Pro LTE-A L-01J,4.00
2564,"HiSilicon Honor KIRIN655 Hi6250, 2016, 64 bit, octa-core, 16 nm, ARM Mali-T830 GPU",ARM Mali-T830MP2,Honor 6X Premium Edition Dual SIM TD-LTE BLN-AL20 64GB,4.00
2565,"Qualcomm Snapdragon 618 MSM8956 / Snapdragon 650, 2015, 64 bit, hexa-core, 1024 Kbyte L2, 28 nm, Qualcomm Adreno 510 GPU",Qualcomm Adreno 510,Xperia X Compact TD-LTE SO-02J,3.00
2566,"Qualcomm Snapdragon 625 MSM8953, 2016, 64 bit, octa-core, 14 nm, Qualcomm Adreno 506 GPU",Qualcomm Adreno 506,Nubia Z11 Mini S Dual SIM TD-LTE 64GB NX549J,4.00
2567,"Qualcomm Snapdragon 821 MSM8996AB Pro, 2016, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,Mi 5s Extreme Edition Dual SIM TD-LTE 64GB,6.00
2568,"Intel Core M 6th Gen m3-6Y30 (Skylake), 2015, 64 bit, dual-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 512 Kbyte L2, 4096 Kbyte L3, 14 nm, Intel Iris Graphics 515 GPU",Intel Iris Graphics 515 EU24,SM-W700 Galaxy TabPro S Gold Edition WiFi 256GB,8.00
2569,"MediaTek MT6595, 2014, 32 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 2048 Kbyte L2, 28 nm, IMG PowerVR G6200 GPU",PowerVR G6200,P7 Max Dual SIM TD-LTE,3.00
2570,"Rockchip RK3399 (OP1), 2016, 64 bit, hexa-core, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP4, Chromebook Pro 513C24I,4.00
2571,"Qualcomm Snapdragon 616 MSM8939v2, 2015, 64 bit, octa-core, 28 nm, Qualcomm Adreno 405 GPU",Qualcomm Adreno 405,MediaPad T2 7.0 Pro TD-LTE PLE-701L 32GB,3.00
2572,"Qualcomm Snapdragon 616 MSM8939v2, 2015, 64 bit, octa-core, 28 nm, Qualcomm Adreno 405 GPU",Qualcomm Adreno 405,MediaPad T2 7.0 Pro TD-LTE PLE-701L 16GB,2.00
2573,"Spreadtrum SC9830i, 2015, 32 bit, quad-core, 28 nm, ARM Mali-400 GPU",ARM Mali-400MP,Mediapad T1 7.0 TD-LTE JP 8GB,1.00
2574,"MediaTek MT6755 (Helio P10), 2015, 64 bit, octa-core, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,One A9s LTE-A 16GB,2.00
2575,"MediaTek MT6735P, 2015, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP2,A6600 Plus Dual SIM TD-LTE,2.00
2576,"Qualcomm Snapdragon 820 MSM8996, 2015, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,Xperia XZ TD-LTE SO-01J,3.00
2577,"Samsung Exynos 7 Octa 7870 (Joshua), 2016, 64 bit, octa-core, 14 nm, ARM Mali-T830 GPU",ARM Mali-T830,SM-G610S Galaxy On7 2016 LTE,3.00
2578,"Spreadtrum SC9830i, 2015, 32 bit, quad-core, 28 nm, ARM Mali-400 GPU",ARM Mali-400MP,Mediapad T1 7.0 TD-LTE JP 16GB,2.00
2579,"MediaTek MT6755 (Helio P10), 2015, 64 bit, octa-core, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,One A9s LTE-A 32GB,3.00
2580,"Qualcomm Snapdragon 430 MSM8937, 2016, 64 bit, octa-core, 28 nm, Qualcomm Adreno 505 GPU",Qualcomm Adreno 505,ivvi i3 Play i3p-02 Dual SIM LTE,4.00
2581,"Qualcomm Snapdragon 620 MSM8976 / Snapdragon 652, 2015, 64 bit, octa-core, 1024 Kbyte L2, 28 nm, Qualcomm Adreno 510 GPU",Qualcomm Adreno 510,SM-T818T Galaxy Tab S2 Plus 9.7 LTE-A,3.00
2582,"MediaTek MT6735M, 2015, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-400MP2,AIS LAVA 4G VoLTE 565 / Iris 565,512
2583,"Qualcomm Snapdragon 820 MSM8996, 2015, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,Star Wars Phone TD-LTE 506SH,3.00
2584,"Qualcomm Snapdragon 820 MSM8996, 2015, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,Xperia XZ TD-LTE 601SO,3.00
2585,"Qualcomm Snapdragon 617 MSM8952, 2015, 64 bit, octa-core, 28 nm, Qualcomm Adreno 405 GPU",Qualcomm Adreno 405,Axon 7 Mini Dual SIM TD-LTE JP,3.00
2586,"Qualcomm Snapdragon 820 MSM8996, 2015, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,Axon 7 Dual SIM TD-LTE JP 64GB,4.00
2587,"MediaTek MT6582M, 2013, 32 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 512 Kbyte L2, 28 nm, ARM Mali-400 GPU",ARM Mali-400MP2,Luft U452 Dual SIM,512
2588,"Qualcomm Snapdragon 210 MSM8909, 2014, 32 bit, quad-core, 28 nm, Qualcomm Adreno 304 GPU",Qualcomm Adreno 304,Freddy Dual SIM LTE,1.00
2589,"Qualcomm Snapdragon 617 MSM8952, 2015, 64 bit, octa-core, 28 nm, Qualcomm Adreno 405 GPU",Qualcomm Adreno 405,Note 5 TD-LTE Dual SIM ,4.00
2590,"Qualcomm Snapdragon 212 MSM8909v2, 2015, 32 bit, quad-core, 28 nm, Qualcomm Adreno 304 GPU",Qualcomm Adreno 304,LS676 Tribute HD TD-LTE,1.50
2591,"Samsung Exynos 7 Octa 7870 (Joshua), 2016, 64 bit, octa-core, 14 nm, ARM Mali-T830 GPU",ARM Mali-T830,SM-T587P Galaxy Tab A 10.1 2016 TD-LTE / Galaxy Tab E 10.1,2.00
2592,"Qualcomm Snapdragon 410 MSM8916, 2014, 64 bit, quad-core, 28 nm, Qualcomm Adreno 306 GPU",Qualcomm Adreno 306,M631 A1s Dual SIM TD-LTE,1.00
2593,"Qualcomm Snapdragon 625 MSM8953, 2016, 64 bit, octa-core, 14 nm, Qualcomm Adreno 506 GPU",Qualcomm Adreno 506,nova Dual SIM TD-LTE CN CAZ-AL10,4.00
2594,"Qualcomm Snapdragon 615 MSM8939, 2014, 64 bit, octa-core, 28 nm, Qualcomm Adreno 405 GPU",Qualcomm Adreno 405,CM810 Button phone Dual SIM TD-LTE,2.00
2595,"Spreadtrum SC9830i, 2015, 32 bit, quad-core, 28 nm, ARM Mali-400 GPU",Qualcomm Adreno 405,MediaPad T2 7.0 LTE BGO-L03 8GB / BGO-L03A,1.00
2596,"Spreadtrum SC9830i, 2015, 32 bit, quad-core, 28 nm, ARM Mali-400 GPU",Qualcomm Adreno 405,MediaPad T2 7.0 TD-LTE BGO-DL09 16GB,2.00
2597,"MediaTek MT6750, 2016, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 512 Kbyte L2, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,Raijin Dual SIM LTE FTJ162E / Arsenal Power One,4.00
2598,"Spreadtrum SC9830i, 2015, 32 bit, quad-core, 28 nm, ARM Mali-400 GPU",ARM Mali-T860MP2 ,MediaPad T2 7.0 LTE BGO-L03 16GB,1.00
2599,"Qualcomm Snapdragon 210 MSM8909, 2014, 32 bit, quad-core, 28 nm, Qualcomm Adreno 304 GPU",Qualcomm Adreno 304,Z353VL Cymbal T LTE,1.00
2600,"Qualcomm Snapdragon 620 MSM8976 / Snapdragon 652, 2015, 64 bit, octa-core, 1024 Kbyte L2, 28 nm, Qualcomm Adreno 510 GPU",Qualcomm Adreno 510,Yoga Tablet 3 Plus WiFi,3.00
2601,"MediaTek MT6797 (Helio X25), 2016, 64 bit, deca-core, 20 nm, ARM Mali-T880 GPU",ARM Mali-T880MP4,Samurai Kiwami 2 Dual SIM LTE FTJ162B / Arsenal Deca One,4.00
2602,"Qualcomm Snapdragon 821 MSM8996AB Pro, 2016, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,Pixel XL Phone / Nexus M1 Global TD-LTE 128GB,4.00
2603,"Samsung Exynos 7 Octa 7420, 2015, 64 bit, octa-core, 2048 Kbyte L2, 14 nm, ARM Mali-T760 GPU",ARM Mali-T720,SM-A810YZ Galaxy A8 2016 Duos TD-LTE,3.00
2604,"Qualcomm Snapdragon 821 MSM8996AB Pro, 2016, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,Pixel Phone / Nexus S1 Global TD-LTE 32GB,4.00
2605,"Qualcomm Snapdragon 430 MSM8937, 2016, 64 bit, octa-core, 28 nm, Qualcomm Adreno 505 GPU",Qualcomm Adreno 505,Vivo Y55A Dual SIM TD-LTE CN,2.00
2606,"MediaTek MT6750, 2016, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 512 Kbyte L2, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,U680D Meilan U10 Dual SIM TD-LTE 32GB,3.00
2607,"Qualcomm Snapdragon 821 MSM8996AB Pro, 2016, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,Pixel XL Phone / Nexus M1 Global TD-LTE 32GB,4.00
2608,"Qualcomm Snapdragon 821 MSM8996AB Pro, 2016, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,Pixel Phone / Nexus S1 Global TD-LTE 128GB,4.00
2609,"MediaTek MT6755 (Helio P10), 2015, 64 bit, octa-core, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,m3 Max S685Q Dual SIM TD-LTE 16GB,2.00
2610,"MediaTek MT6750, 2016, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 512 Kbyte L2, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,U680D Meilan U10 Dual SIM TD-LTE 16GB,2.00
2611,"Qualcomm Snapdragon 821 MSM8996AB Pro, 2016, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,Pixel XL Phone / Nexus M1 TD-LTE NA 128GB,4.00
2612,"Qualcomm Snapdragon 821 MSM8996AB Pro, 2016, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,Pixel Phone / Nexus S1 TD-LTE NA 128GB,4.00
2613,"MediaTek MT6755 (Helio P10), 2015, 64 bit, octa-core, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,U20 Dual SIM TD-LTE 16GB,2.00
2614,"MediaTek MT6797 (Helio X25), 2016, 64 bit, deca-core, 20 nm, ARM Mali-T880 GPU",ARM Mali-T880MP4,X652 Le3 TD-LTE Dual SIM 32GB / LEX652,3.00
2615,"Qualcomm Snapdragon 620 MSM8976 / Snapdragon 652, 2015, 64 bit, octa-core, 1024 Kbyte L2, 28 nm, Qualcomm Adreno 510 GPU",Qualcomm Adreno 510,X522 Le S3 Dual SIM LTE AM / Le 2 ,3.00
2616,"MediaTek MT6795T (Helio X10), 2014, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 2048 Kbyte L2, 28 nm, IMG PowerVR G6200 GPU",PowerVR G6200,X508 Le 1s Dual SIM TD-LTE 32GB,3.00
2617,"MediaTek MT6795 (Helio X10), 2014, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 2048 Kbyte L2, 28 nm, IMG PowerVR G6200 GPU",PowerVR G6200,X608 Le1 Dual SIM TD-LTE 16GB,3.00
2618,"Qualcomm Snapdragon 810 MSM8994 v2.1, 2015, 64 bit, octa-core, 4096 Kbyte L2, 20 nm, Qualcomm Adreno 430 GPU",Qualcomm Adreno 430,X900+ LeMax Dual SIM TD-LTE 64GB,4.00
2619,"MediaTek MT6753, 2015, 64 bit, octa-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP2,K580dsZ X Series X Cam Dual SIM LTE,2.00
2620,"DEC StrongARM SA-1100, 1997, 32 bit, single-core, 16 Kbyte I-Cache, 8 Kbyte D-Cache, 350 nm",ARM Mali-T720MP2,Simputer,32
2621,"Qualcomm Snapdragon 620 MSM8976 / Snapdragon 652, 2015, 64 bit, octa-core, 1024 Kbyte L2, 28 nm, Qualcomm Adreno 510 GPU",Qualcomm Adreno 510,SM-T818V Galaxy Tab S2 Plus 9.7 XLTE,3.00
2622,"Qualcomm Snapdragon 821 MSM8996AB Pro, 2016, 64 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 14 nm, Qualcomm Adreno 530 GPU",Qualcomm Adreno 530,Pixel Phone / Nexus S1 TD-LTE NA 32GB,4.00
2623,"Qualcomm Snapdragon 617 MSM8952, 2015, 64 bit, octa-core, 28 nm, Qualcomm Adreno 405 GPU",Qualcomm Adreno 405,DuraForce Pro LTE-A E6820,3.00
2624,"MediaTek MT6580, 2015, 32 bit, quad-core, ARM Mali-400 GPU",ARM Mali-400MP2,One Touch Pixi 4 Plus Power Dual SIM,1.00
2625,"MediaTek MT6737, 2016, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP2,C1 Dual SIM LTE,2.00
2626,"MediaTek MT6755 (Helio P10), 2015, 64 bit, octa-core, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,m3 Max S685M Dual SIM TD-LTE 16GB,2.00
2627,"MediaTek MT6797M (Helio X20), 2016, 64 bit, deca-core, 20 nm, ARM Mali-T880 GPU",ARM Mali-T880MP4,MX6 M685Q Premium Edition Dual SIM TD-LTE / M685C,4.00
2628,"MediaTek MT6750, 2016, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 512 Kbyte L2, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,580 Dual SIM TD-LTE,3.00
